DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,MC INTOSH RD,130,06903,-73.56702938,41.16623685
,MC INTOSH RD,136,06903,-73.56642049,41.16640848
,MAYAPPLE RD,182,06903,-73.56971321,41.16608933
,LAUREL RD,58,06903,-73.55838423,41.16627247
,MC INTOSH RD,112,06903,-73.56753412,41.16604616
,MC INTOSH CT,27,06903,-73.56896053,41.16603676
,LAUREL RD,52,06903,-73.55869136,41.16620818
,LAUREL RD,46,06903,-73.55891048,41.16610944
,FLORA PL,19,06903,-73.56162098,41.16591348
,RUSSET RD,194,06903,-73.56417317,41.16597403
,FLORA PL,23,06903,-73.56220059,41.16597322
,RUSSET RD,222,06903,-73.56504228,41.1660478
,MAYAPPLE RD,193,06903,-73.57083103,41.16593332
,FLORA PL,25,06903,-73.56213881,41.16543283
,RUSSET RD,185,06903,-73.56336955,41.16585455
,MC INTOSH RD,133,06903,-73.56615672,41.16594007
,TANGLEWOOD LN,43,06903,-73.57322803,41.16559155
,MC INTOSH CT,28,06903,-73.56898138,41.16560221
,LAUREL RD,55,06903,-73.55832464,41.16580079
,MC INTOSH RD,111,06903,-73.56682427,41.16560556
,MAYAPPLE RD,196,06903,-73.57005608,41.16567557
,LAUREL RD,53,06903,-73.55848488,41.16577963
,TANGLEWOOD LN,21,06903,-73.57185133,41.16550538
,LAUREL RD,133,06903,-73.55639582,41.16542213
,LAUREL RD,39,06903,-73.55850691,41.16536632
,MC INTOSH RD,94,06903,-73.56782901,41.1655572
,RUSSET RD,180,06903,-73.563952,41.16553392
,TANGLEWOOD LN,37,06903,-73.57244527,41.1652815
,BLACK TWIG PL,16,06903,-73.56594367,41.1655362
,MAYAPPLE RD,207,06903,-73.57097679,41.16544339
,FLORA PL,24,06903,-73.56196046,41.16481828
,MC INTOSH CT,22,06903,-73.56907154,41.16524467
,MC INTOSH RD,91,06903,-73.56707498,41.16524803
,RUSSET RD,173,06903,-73.56316397,41.16544366
,BLACK TWIG PL,34,06903,-73.56516946,41.16522416
,LAUREL RD,23,06903,-73.55957056,41.16520512
,MAYAPPLE RD,222,06903,-73.5701579,41.16510703
,BLACK TWIG PL,38,06903,-73.56467635,41.16493453
,LAUREL RD,11,06903,-73.56013449,41.1651073
,MC INTOSH RD,84,06903,-73.56781251,41.16508196
,TANGLEWOOD LN,53,06903,-73.57334207,41.16495532
,BLACK TWIG PL,31,06903,-73.56626325,41.16495824
,RUSSET RD,164,06903,-73.56377685,41.16497699
,RUSSET RD,153,06903,-73.56275759,41.16488077
,SPRING HILL LN N,40,06903,-73.55794214,41.16472913
,MC INTOSH RD,80,06903,-73.56790634,41.1647823
,MAYAPPLE RD,227,06903,-73.57109664,41.16471248
,MC INTOSH RD,79,06903,-73.56701598,41.16476329
,ROCK RIMMON RD,1233,06903,-73.58864508,41.16291491
,MAYAPPLE RD,226,06903,-73.56932103,41.16458609
,SPRING HILL LN N,49,06903,-73.55910001,41.16419083
,TANGLEWOOD LN,50,06903,-73.57367203,41.16434609
,ROCK RIMMON RD,963,06903,-73.57856164,41.16416388
,MAYAPPLE RD,230,06903,-73.56957383,41.16431425
,BLACK TWIG PL,39,06903,-73.56628903,41.16439877
,FLORA PL,20,06903,-73.56170421,41.16426712
,FLORA PL,2,06903,-73.56112126,41.16455704
,RUSSET RD,152,06903,-73.56355909,41.16455139
,MAYAPPLE RD,228,06903,-73.57020908,41.1645578
,ROCK RIMMON RD,1021,06903,-73.5820357,41.16406112
,BLACK TWIG PL,42,06903,-73.56455355,41.16464161
,MC INTOSH RD,66,06903,-73.56795829,41.16441122
,RUSSET RD,141,06903,-73.56258823,41.16436872
,MC INTOSH RD,73,06903,-73.56734423,41.16435886
